month,day,year,avgtemp,city
1,1,2017,76.3,miami
1,2,2017,79.7,miami
1,3,2017,79.5,miami
1,4,2017,76.1,miami
1,5,2017,74.3,miami
1,6,2017,72.1,miami
1,7,2017,77.6,miami
1,8,2017,59.1,miami
1,9,2017,60.6,miami
1,10,2017,69.6,miami
1,11,2017,72.1,miami
1,12,2017,75.1,miami
1,13,2017,75.6,miami
1,14,2017,74.2,miami
1,15,2017,75.6,miami
1,16,2017,76.8,miami
1,17,2017,76,miami
1,18,2017,74.8,miami
1,19,2017,73.6,miami
1,20,2017,73.8,miami
1,21,2017,74.2,miami
1,22,2017,78.8,miami
1,23,2017,77,miami
1,24,2017,70.5,miami
1,25,2017,69.6,miami
1,26,2017,73.6,miami
1,27,2017,74.8,miami
1,28,2017,67.7,miami
1,29,2017,60.2,miami
1,30,2017,60.5,miami
1,31,2017,61.8,miami
2,1,2017,68.8,miami
2,2,2017,71.3,miami
2,3,2017,73,miami
2,4,2017,72.7,miami
2,5,2017,73.2,miami
2,6,2017,73.1,miami
2,7,2017,75.5,miami
2,8,2017,76.1,miami
2,9,2017,73.5,miami
2,10,2017,71.8,miami
2,11,2017,71.6,miami
2,12,2017,71.2,miami
2,13,2017,71.3,miami
2,14,2017,72.3,miami
2,15,2017,73.4,miami
2,16,2017,72.9,miami
2,17,2017,66.1,miami
2,18,2017,70.4,miami
2,19,2017,75.2,miami
2,20,2017,72.3,miami
2,21,2017,70.2,miami
2,22,2017,68.4,miami
2,23,2017,69.2,miami
2,24,2017,67.3,miami
2,25,2017,73.3,miami
2,26,2017,73.7,miami
2,27,2017,77,miami
2,28,2017,77.8,miami
3,1,2017,76.8,miami
3,2,2017,76.3,miami
3,3,2017,73.9,miami
3,4,2017,72.6,miami
3,5,2017,71.4,miami
3,6,2017,70.1,miami
3,7,2017,72.3,miami
3,8,2017,73.6,miami
3,9,2017,73.5,miami
3,10,2017,74.1,miami
3,11,2017,74.3,miami
3,12,2017,75.4,miami
3,13,2017,73.8,miami
3,14,2017,73.3,miami
3,15,2017,63.6,miami
3,16,2017,61.4,miami
3,17,2017,64.8,miami
3,18,2017,69.6,miami
3,19,2017,70.4,miami
3,20,2017,70.4,miami
3,21,2017,70.9,miami
3,22,2017,68.4,miami
3,23,2017,73.8,miami
3,24,2017,72.8,miami
3,25,2017,74.3,miami
3,26,2017,74.4,miami
3,27,2017,74.8,miami
3,28,2017,74.4,miami
3,29,2017,77.2,miami
3,30,2017,76.8,miami
3,31,2017,78.6,miami
4,1,2017,79.9,miami
4,2,2017,80,miami
4,3,2017,80.1,miami
4,4,2017,80.4,miami
4,5,2017,80,miami
4,6,2017,78.2,miami
4,7,2017,71,miami
4,8,2017,68.3,miami
4,9,2017,73,miami
4,10,2017,74.2,miami
4,11,2017,74.8,miami
4,12,2017,75.8,miami
4,13,2017,75.8,miami
4,14,2017,73.8,miami
4,15,2017,77.4,miami
4,16,2017,76.7,miami
4,17,2017,76.8,miami
4,18,2017,77.9,miami
4,19,2017,77.8,miami
4,20,2017,76.8,miami
4,21,2017,76.4,miami
4,22,2017,77.6,miami
4,23,2017,75.6,miami
4,24,2017,77.1,miami
4,25,2017,75.9,miami
4,26,2017,75.9,miami
4,27,2017,82,miami
4,28,2017,82.7,miami
4,29,2017,82.4,miami
4,30,2017,81.7,miami
5,1,2017,81.6,miami
5,2,2017,81.6,miami
5,3,2017,79.2,miami
5,4,2017,81.9,miami
5,5,2017,80.4,miami
5,6,2017,73.9,miami
5,7,2017,74.1,miami
5,8,2017,76.7,miami
5,9,2017,76.2,miami
5,10,2017,80.2,miami
5,11,2017,80.2,miami
5,12,2017,80.8,miami
5,13,2017,82.5,miami
5,14,2017,81.9,miami
5,15,2017,81.2,miami
5,16,2017,82.7,miami
5,17,2017,83.3,miami
5,18,2017,82.5,miami
5,19,2017,82.2,miami
5,20,2017,83.7,miami
5,21,2017,82.8,miami
5,22,2017,82.3,miami
5,23,2017,82.5,miami
5,24,2017,84.7,miami
5,25,2017,81.3,miami
5,26,2017,83.9,miami
5,27,2017,86,miami
5,28,2017,86.2,miami
5,29,2017,84.9,miami
5,30,2017,83.5,miami
5,31,2017,85.9,miami
6,1,2017,84.9,miami
